"日期","收盘","开盘","高","低","交易量","涨跌幅"
"2004年1月16日","1,553.6","1,545.3","1,553.6","1,537.2","-","1.41%"
"2004年1月15日","1,532.0","1,524.7","1,545.7","1,515.1","-","-0.13%"
"2004年1月14日","1,534.1","1,531.9","1,536.8","1,521.9","-","0.61%"
"2004年1月13日","1,524.8","1,540.3","1,541.8","1,513.2","-","-0.97%"
"2004年1月12日","1,539.8","1,524.5","1,540.1","1,515.9","-","1.27%"
"2004年1月9日","1,520.5","1,516.6","1,541.8","1,512.9","-","-0.67%"
"2004年1月8日","1,530.7","1,524.1","1,530.7","1,513.3","-","1.08%"
"2004年1月7日","1,514.3","1,498.4","1,514.4","1,491.2","-","0.87%"
"2004年1月6日","1,501.3","1,492.4","1,504.5","1,486.6","-","0.31%"
"2004年1月5日","1,496.6","1,474.6","1,496.6","1,474.2","-","2.26%"
"2004年1月2日","1,463.6","1,474.2","1,479.6","1,458.5","-","-0.30%"
"2003年12月31日","1,467.9","1,471.6","1,474.2","1,459.1","-","-0.14%"
"2003年12月30日","1,470.0","1,467.7","1,470.4","1,460.7","-","-0.02%"
"2003年12月29日","1,470.4","1,447.6","1,470.4","1,447.6","-","1.84%"
"2003年12月26日","1,443.9","1,444.4","1,451.2","1,442.3","-","0.05%"
"2003年12月24日","1,443.2","1,442.6","1,447.6","1,439.7","-","-0.34%"
"2003年12月23日","1,448.2","1,431.6","1,448.2","1,430.0","-","1.15%"
"2003年12月22日","1,431.7","1,422.8","1,433.7","1,419.8","-","0.39%"
"2003年12月19日","1,426.2","1,434.9","1,434.9","1,416.2","-","-0.36%"
"2003年12月18日","1,431.3","1,404.1","1,432.6","1,404.1","-","2.24%"
"2003年12月17日","1,400.0","1,400.8","1,406.2","1,390.8","-","-0.23%"
"2003年12月16日","1,403.3","1,397.4","1,407.4","1,384.5","-","0.46%"
"2003年12月15日","1,396.8","1,442.1","1,442.7","1,396.8","-","-1.44%"
"2003年12月12日","1,417.3","1,419.7","1,419.7","1,404.4","-","0.02%"
"2003年12月11日","1,417.0","1,388.9","1,422.5","1,387.5","-","2.02%"
"2003年12月10日","1,389.0","1,387.3","1,394.7","1,372.9","-","0.38%"
"2003年12月9日","1,383.7","1,423.8","1,425.0","1,383.0","-","-2.43%"
"2003年12月8日","1,418.1","1,406.0","1,419.1","1,399.4","-","0.79%"
"2003年12月5日","1,406.9","1,415.8","1,429.2","1,405.6","-","-1.78%"
"2003年12月4日","1,432.4","1,424.7","1,434.3","1,411.1","-","0.89%"
"2003年12月3日","1,419.8","1,440.4","1,452.0","1,419.8","-","-0.85%"
"2003年12月2日","1,431.9","1,441.7","1,447.8","1,431.3","-","-1.05%"
"2003年12月1日","1,447.1","1,434.1","1,447.1","1,427.1","-","1.60%"
"2003年11月28日","1,424.3","1,417.4","1,426.8","1,416.2","-","0.29%"
"2003年11月26日","1,420.1","1,422.0","1,426.3","1,400.0","-","0.62%"
"2003年11月25日","1,411.4","1,418.3","1,424.3","1,411.4","-","-0.56%"
"2003年11月24日","1,419.3","1,385.2","1,419.3","1,385.2","-","3.35%"
"2003年11月21日","1,373.3","1,370.6","1,375.9","1,357.3","-","0.72%"
"2003年11月20日","1,363.5","1,365.7","1,394.4","1,362.1","-","-1.12%"
"2003年11月19日","1,378.9","1,368.5","1,382.9","1,363.1","-","1.04%"
"2003年11月18日","1,364.7","1,401.5","1,405.9","1,364.7","-","-2.08%"
"2003年11月17日","1,393.8","1,399.4","1,402.6","1,377.9","-","-0.98%"
"2003年11月14日","1,407.5","1,439.0","1,448.1","1,407.4","-","-2.25%"
"2003年11月13日","1,439.9","1,434.8","1,442.3","1,429.2","-","-0.25%"
"2003年11月12日","1,443.5","1,414.2","1,443.5","1,413.8","-","2.40%"
"2003年11月11日","1,409.6","1,412.5","1,418.5","1,401.4","-","-0.35%"
"2003年11月10日","1,414.6","1,435.9","1,437.1","1,412.1","-","-1.54%"
"2003年11月7日","1,436.7","1,450.5","1,453.5","1,436.1","-","-0.23%"
"2003年11月6日","1,440.1","1,439.2","1,443.1","1,421.6","-","0.74%"
"2003年11月5日","1,429.6","1,428.0","1,437.8","1,414.4","-","0.01%"
"2003年11月4日","1,429.4","1,434.3","1,442.3","1,425.3","-","-0.95%"
"2003年11月3日","1,443.1","1,423.1","1,445.7","1,422.3","-","1.89%"
"2003年10月31日","1,416.4","1,423.4","1,425.3","1,411.8","-","-0.07%"
"2003年10月30日","1,417.4","1,437.7","1,437.8","1,413.6","-","-0.18%"
"2003年10月29日","1,419.9","1,414.2","1,423.7","1,410.5","-","-0.01%"
"2003年10月28日","1,420.0","1,385.6","1,420.0","1,382.9","-","3.09%"
"2003年10月27日","1,377.4","1,378.9","1,384.9","1,369.4","-","0.50%"
"2003年10月24日","1,370.6","1,360.6","1,370.7","1,346.0","-","-0.54%"
"2003年10月23日","1,378.1","1,371.9","1,387.0","1,369.9","-","-0.67%"
"2003年10月22日","1,387.4","1,403.8","1,404.1","1,385.2","-","-2.44%"
"2003年10月21日","1,422.1","1,413.0","1,424.8","1,405.5","-","0.91%"
"2003年10月20日","1,409.3","1,395.4","1,409.3","1,388.5","-","1.10%"
"2003年10月17日","1,394.0","1,424.0","1,426.4","1,392.1","-","-2.29%"
"2003年10月16日","1,426.7","1,411.2","1,427.6","1,411.1","-","0.64%"
"2003年10月15日","1,417.6","1,440.0","1,440.0","1,409.8","-","-0.22%"
"2003年10月14日","1,420.7","1,411.5","1,421.0","1,406.4","-","0.42%"
"2003年10月13日","1,414.7","1,412.4","1,422.3","1,405.1","-","0.70%"
"2003年10月10日","1,404.9","1,399.2","1,406.3","1,394.0","-","0.57%"
"2003年10月9日","1,396.9","1,404.9","1,418.1","1,386.6","-","1.05%"
"2003年10月8日","1,382.4","1,398.5","1,399.0","1,376.4","-","-0.73%"
"2003年10月7日","1,392.6","1,372.1","1,392.7","1,368.1","-","0.79%"
"2003年10月6日","1,381.7","1,378.2","1,384.1","1,370.4","-","0.46%"
"2003年10月3日","1,375.3","1,363.1","1,385.8","1,363.1","-","2.86%"
"2003年10月2日","1,337.1","1,332.2","1,344.0","1,325.9","-","0.13%"
"2003年10月1日","1,335.3","1,312.4","1,336.1","1,306.3","-","2.43%"
"2003年9月30日","1,303.7","1,323.9","1,325.4","1,302.3","-","-2.38%"
"2003年9月29日","1,335.5","1,318.3","1,335.6","1,306.1","-","2.00%"
"2003年9月26日","1,309.3","1,323.9","1,334.0","1,309.2","-","-1.24%"
"2003年9月25日","1,325.8","1,344.6","1,358.0","1,325.7","-","-1.04%"
"2003年9月24日","1,339.6","1,388.5","1,388.5","1,339.6","-","-3.49%"
"2003年9月23日","1,388.2","1,367.9","1,388.7","1,364.7","-","1.60%"
"2003年9月22日","1,366.3","1,371.2","1,374.9","1,358.6","-","-1.86%"
"2003年9月19日","1,392.3","1,406.6","1,406.6","1,383.2","-","-0.56%"
"2003年9月18日","1,400.1","1,374.6","1,401.6","1,368.6","-","1.69%"
"2003年9月17日","1,376.8","1,379.4","1,388.2","1,369.8","-","-0.44%"
"2003年9月16日","1,382.8","1,348.8","1,383.5","1,348.8","-","2.60%"
"2003年9月15日","1,347.8","1,360.0","1,363.5","1,345.9","-","-0.73%"
"2003年9月12日","1,357.6","1,340.8","1,357.6","1,330.3","-","0.51%"
"2003年9月11日","1,350.8","1,339.9","1,358.0","1,327.9","-","1.39%"
"2003年9月10日","1,332.3","1,357.8","1,362.8","1,332.3","-","-2.79%"
"2003年9月9日","1,370.6","1,380.1","1,382.1","1,364.9","-","-1.17%"
"2003年9月8日","1,386.7","1,366.6","1,387.4","1,365.1","-","1.82%"
"2003年9月5日","1,361.9","1,366.3","1,380.2","1,355.0","-","-0.83%"
"2003年9月4日","1,373.3","1,360.2","1,376.1","1,356.2","-","0.96%"
"2003年9月3日","1,360.2","1,370.3","1,375.3","1,354.7","-","-0.07%"
"2003年9月2日","1,361.1","1,347.6","1,361.1","1,333.3","-","1.48%"
"2003年8月29日","1,341.2","1,328.5","1,344.7","1,327.9","-","0.67%"
"2003年8月28日","1,332.3","1,323.2","1,332.5","1,309.0","-","1.02%"
"2003年8月27日","1,318.9","1,306.0","1,320.0","1,303.2","-","0.75%"
"2003年8月26日","1,309.1","1,298.2","1,309.8","1,280.6","-","0.18%"
"2003年8月25日","1,306.6","1,302.5","1,307.8","1,295.8","-","0.16%"
"2003年8月22日","1,304.5","1,338.2","1,342.6","1,304.5","-","-0.77%"
"2003年8月21日","1,314.7","1,309.6","1,319.9","1,299.0","-","1.15%"
"2003年8月20日","1,299.7","1,289.4","1,307.4","1,288.8","-","0.00%"
"2003年8月19日","1,299.7","1,291.4","1,301.3","1,281.7","-","1.16%"
"2003年8月18日","1,284.8","1,258.2","1,284.9","1,256.9","-","2.49%"
"2003年8月15日","1,253.6","1,250.4","1,257.5","1,246.3","-","0.14%"
"2003年8月14日","1,251.9","1,241.2","1,254.0","1,235.1","-","0.93%"
"2003年8月13日","1,240.4","1,247.6","1,249.1","1,233.8","-","-0.03%"
"2003年8月12日","1,240.7","1,227.5","1,241.6","1,220.1","-","1.44%"
