"日期","收盘","开盘","高","低","交易量","涨跌幅"
"2020年12月29日","13,763.0","13,795.0","13,896.0","13,679.0","37.10K","-0.16%"
"2020年12月28日","13,785.0","13,626.0","13,815.0","13,602.0","27.40K","1.48%"
"2020年12月23日","13,584.0","13,412.0","13,609.0","13,320.0","30.66K","1.31%"
"2020年12月22日","13,408.0","13,400.0","13,428.0","13,218.0","38.60K","1.28%"
"2020年12月21日","13,239.0","13,590.0","13,600.0","13,031.0","73.65K","-3.50%"
"2020年12月18日","13,719.2","13,693.5","13,775.5","13,623.0","4.63K","0.23%"
"2020年12月17日","13,688.0","13,574.0","13,736.5","13,554.0","55.68K","0.94%"
"2020年12月16日","13,560.5","13,411.5","13,597.5","13,380.0","89.52K","1.41%"
"2020年12月15日","13,372.0","13,219.5","13,429.0","13,180.5","84.66K","1.00%"
"2020年12月14日","13,240.0","13,190.5","13,292.5","13,143.5","73.67K","0.98%"
"2020年12月11日","13,111.0","13,293.5","13,312.0","13,002.5","87.64K","-1.44%"
"2020年12月10日","13,303.0","13,333.0","13,369.0","13,206.5","70.03K","-0.39%"
"2020年12月9日","13,354.5","13,325.0","13,457.0","13,280.0","75.05K","0.53%"
"2020年12月8日","13,284.5","13,231.5","13,316.0","13,195.0","58.71K","0.14%"
"2020年12月7日","13,266.0","13,288.0","13,299.0","13,154.0","64.02K","-0.12%"
"2020年12月4日","13,282.0","13,201.5","13,314.5","13,199.0","60.68K","0.18%"
"2020年12月3日","13,257.5","13,286.0","13,330.0","13,177.0","58.23K","-0.36%"
"2020年12月2日","13,305.5","13,346.5","13,372.0","13,264.0","63.14K","-0.66%"
"2020年12月1日","13,393.5","13,331.0","13,433.0","13,330.0","75.71K","0.46%"
"2020年11月30日","13,332.0","13,360.5","13,443.0","13,220.0","100.28K","-0.14%"
"2020年11月27日","13,350.5","13,263.0","13,374.0","13,236.0","53.37K","0.39%"
"2020年11月26日","13,299.0","13,280.5","13,327.5","13,243.0","40.45K","0.00%"
"2020年11月25日","13,299.0","13,344.5","13,370.5","13,226.0","57.82K","0.10%"
"2020年11月24日","13,286.0","13,222.0","13,329.0","13,183.0","61.76K","0.93%"
"2020年11月23日","13,163.0","13,132.0","13,308.5","13,116.0","69.57K","0.30%"
"2020年11月20日","13,124.0","13,093.0","13,164.0","13,032.0","61.57K","0.31%"
"2020年11月19日","13,084.0","13,089.0","13,141.5","13,024.5","57.50K","-0.83%"
"2020年11月18日","13,194.0","13,110.0","13,207.0","13,065.5","58.97K","0.53%"
"2020年11月17日","13,124.0","13,140.5","13,162.0","13,041.5","56.79K","-0.26%"
"2020年11月16日","13,158.0","13,166.5","13,275.0","13,066.0","74.08K","0.50%"
"2020年11月13日","13,092.5","13,002.0","13,134.5","12,921.0","64.03K","0.20%"
"2020年11月12日","13,066.5","13,220.0","13,224.5","12,931.0","71.23K","-1.20%"
"2020年11月11日","13,225.5","13,120.0","13,239.5","13,092.0","70.02K","0.23%"
"2020年11月10日","13,195.0","12,990.5","13,232.5","12,865.5","101.08K","0.63%"
"2020年11月9日","13,113.0","12,597.5","13,290.5","12,597.5","141.96K","5.16%"
"2020年11月6日","12,470.0","12,502.0","12,586.0","12,358.5","72.11K","-0.71%"
"2020年11月5日","12,559.0","12,254.0","12,582.0","12,245.5","73.63K","2.06%"
"2020年11月4日","12,305.0","12,224.5","12,356.0","11,772.5","108.11K","1.94%"
"2020年11月3日","12,071.0","11,802.0","12,178.0","11,802.0","85.63K","2.61%"
"2020年11月2日","11,764.5","11,538.0","11,830.0","11,497.0","84.50K","1.73%"
"2020年10月30日","11,564.0","11,584.0","11,632.5","11,313.5","116.08K","-0.03%"
"2020年10月29日","11,567.0","11,554.0","11,696.0","11,442.0","126.24K","0.43%"
"2020年10月28日","11,517.0","11,930.5","11,953.0","11,444.0","159.45K","-4.54%"
"2020年10月27日","12,065.0","12,192.0","12,269.0","11,927.5","104.89K","-0.87%"
"2020年10月26日","12,170.5","12,565.0","12,592.5","12,077.5","111.50K","-3.52%"
"2020年10月23日","12,615.0","12,553.0","12,708.5","12,493.5","72.30K","0.71%"
"2020年10月22日","12,526.5","12,478.5","12,591.5","12,328.5","93.77K","-0.12%"
"2020年10月21日","12,541.0","12,758.0","12,806.5","12,521.0","95.21K","-1.60%"
"2020年10月20日","12,744.5","12,784.5","12,837.0","12,702.5","74.47K","-0.82%"
"2020年10月19日","12,849.5","12,908.5","13,018.0","12,708.5","71.34K","-0.44%"
"2020年10月16日","12,906.5","12,745.5","12,944.0","12,689.5","88.17K","1.87%"
"2020年10月15日","12,669.5","12,983.5","12,983.5","12,581.5","115.87K","-2.68%"
"2020年10月14日","13,018.0","12,997.5","13,052.5","12,935.5","63.48K","0.25%"
"2020年10月13日","12,985.0","13,136.0","13,152.5","12,941.0","75.24K","-1.07%"
"2020年10月12日","13,125.5","13,037.5","13,163.0","13,018.0","60.13K","0.79%"
